user_age,income,employment_status,credit_score,loan_amount,loan_term,existing_debt,loan_to_income_ratio,payment_history,num_of_defaults,savings_balance
59,523993,Self-employed,528,910657,14,235815,0.45003463786729975,Good,2,157197.9
52,509095,Employed,779,274647,20,157359,0.30909555191074356,Bad,7,152728.5
24,187541,Employed,789,86761,13,391101,2.085415989037064,Good,1,56262.299999999996
50,406063,Self-employed,346,432192,15,166043,0.40890945493679554,Bad,7,121818.9
57,14166,Unemployed,323,914871,19,57152,4.03444867993788,Good,2,4249.8
43,152776,Self-employed,573,800022,7,43351,0.2837553018798764,Average,4,45832.799999999996
59,660915,Self-employed,612,518637,20,192112,0.29067580551205524,Average,3,198274.5
35,6386,Unemployed,455,668246,16,228977,35.856091450046975,Bad,8,1915.8
49,15619,Unemployed,498,932370,9,220631,14.12580831039119,Bad,9,4685.7
56,814278,Employed,661,330768,11,385521,0.47345132743362833,Good,1,244283.4
33,496389,Employed,733,988403,13,61616,0.1241284557071168,Bad,8,148916.69999999998
52,378410,Self-employed,415,690152,22,243493,0.643463439126873,Bad,7,113523.0
27,15618,Unemployed,323,404980,12,155969,9.986489947496478,Good,0,4685.4
42,652215,Employed,605,783198,16,286154,0.43874182593163297,Bad,9,195664.5
48,351229,Self-employed,536,122356,6,122822,0.34969208123475,Bad,9,105368.7
22,12642,Unemployed,399,219228,14,152186,12.03812687865844,Average,5,3792.6
26,584844,Self-employed,604,44727,23,282194,0.4825115757364357,Average,5,175453.19999999998
48,547473,Employed,785,342615,13,247309,0.4517282130808277,Average,4,164241.9
48,781943,Employed,602,534356,12,284269,0.36354184384283766,Bad,6,234582.9
40,35782,Unemployed,474,643211,5,176918,4.94432955117098,Good,2,10734.6
50,751777,Self-employed,740,402511,10,355805,0.47328529603858593,Average,4,225533.1
31,34409,Unemployed,306,436376,16,258156,7.502572001511233,Bad,6,10322.699999999999
48,876462,Employed,591,13390,23,89116,0.1016769694521839,Average,3,262938.6
45,216278,Employed,689,633040,21,120233,0.5559187712111264,Good,0,64883.399999999994
59,576238,Self-employed,775,939635,6,353299,0.6131129845654053,Good,0,172871.4
53,459142,Self-employed,761,358898,15,392987,0.8559160346907928,Good,2,137742.6
21,736188,Self-employed,785,340113,22,14869,0.02019728656267149,Good,2,220856.4
47,16907,Unemployed,407,672398,15,63167,3.7361447920979476,Good,0,5072.099999999999
33,442359,Self-employed,708,971831,22,188219,0.42548925194242687,Good,1,132707.69999999998
23,841614,Self-employed,496,751078,12,244758,0.2908197819903186,Bad,7,252484.19999999998
59,649330,Employed,722,341208,19,144194,0.22206582169312983,Average,3,194799.0
26,207129,Employed,749,23281,13,175899,0.8492243963906551,Good,0,62138.7
28,551707,Self-employed,539,56189,19,145407,0.26355837428200113,Average,4,165512.1
47,650499,Self-employed,770,264093,11,252536,0.388218890421046,Average,3,195149.69999999998
29,778294,Employed,688,312655,17,326720,0.4197899508411988,Bad,6,233488.19999999998
57,781646,Self-employed,665,648403,17,22677,0.029011854471205634,Good,2,234493.8
53,14505,Unemployed,405,534893,5,126662,8.732299207169941,Good,2,4351.5
44,7105,Unemployed,308,364462,8,77794,10.949190710767066,Bad,6,2131.5
35,38560,Unemployed,415,396597,8,76675,1.9884595435684647,Bad,6,11568.0
52,510421,Self-employed,702,986138,8,305469,0.598464796707032,Bad,9,153126.3
52,147798,Employed,618,808242,17,41503,0.28080894193426165,Bad,8,44339.4
44,242902,Self-employed,635,251415,6,282658,1.1636709454841871,Bad,6,72870.59999999999
32,479650,Self-employed,373,681682,19,57196,0.11924528301886793,Average,5,143895.0
59,817646,Employed,823,43869,8,357777,0.43756955944259496,Bad,9,245293.8
22,340258,Employed,646,559243,10,182191,0.5354495706199414,Good,2,102077.4
23,879662,Employed,783,587676,7,84324,0.09585954605291577,Good,1,263898.6
57,37980,Unemployed,422,767612,11,142019,3.7393101632438124,Bad,8,11394.0
37,476022,Self-employed,693,12207,10,348694,0.7325165643604707,Bad,7,142806.6
22,417410,Employed,785,220401,7,343475,0.8228719963584964,Bad,7,125223.0
22,665501,Self-employed,404,987132,8,164704,0.24748873405148902,Bad,9,199650.3
48,18777,Unemployed,475,161292,14,151424,8.064334025669702,Bad,8,5633.099999999999
43,34441,Unemployed,353,479266,13,286797,8.327197235852617,Good,0,10332.3
57,164917,Employed,606,498762,10,199187,1.2078015001485596,Average,5,49475.1
52,577578,Employed,720,207157,15,360438,0.624050777557317,Bad,7,173273.4
53,890114,Self-employed,521,24031,11,44755,0.05028007648458512,Bad,8,267034.2
21,934449,Employed,700,465937,22,367440,0.3932156811126129,Bad,9,280334.7
39,508150,Self-employed,648,869239,8,99354,0.195521007576503,Good,2,152445.0
22,439824,Employed,701,597600,9,335132,0.7619684237331296,Good,1,131947.19999999998
46,202345,Self-employed,535,586054,8,301065,1.4878796115545232,Average,5,60703.5
52,607294,Self-employed,743,145521,8,309812,0.5101515904981772,Average,5,182188.19999999998
26,449256,Self-employed,305,353977,17,318319,0.7085470199618925,Average,4,134776.8
52,514163,Self-employed,426,189771,20,179810,0.34971400120195345,Average,3,154248.9
24,17178,Unemployed,454,239199,18,316596,18.43031784841076,Good,1,5153.4
31,814216,Self-employed,534,763019,15,200395,0.24612019414995528,Average,4,244264.8
37,708387,Employed,788,762129,6,309293,0.43661586110417044,Bad,9,212516.1
58,6823,Unemployed,496,637329,18,245965,36.04939176315404,Good,2,2046.8999999999999
44,18072,Unemployed,425,642473,11,278983,15.437306330234618,Good,1,5421.599999999999
25,282255,Self-employed,597,179164,15,3155,0.011177835645072718,Good,2,84676.5
54,29161,Unemployed,436,458887,8,55512,1.9036384211789719,Bad,8,8748.3
26,896255,Self-employed,386,536638,11,349294,0.389726138208434,Good,2,268876.5
42,160466,Employed,741,753518,20,127041,0.7917004225194122,Bad,7,48139.799999999996
31,186446,Self-employed,762,889291,10,289334,1.551838065713397,Average,4,55933.799999999996
36,19772,Unemployed,353,515313,10,274072,13.86162249645964,Good,2,5931.599999999999
53,795523,Employed,741,787858,6,311569,0.3916530383156741,Bad,6,238656.9
29,637088,Self-employed,622,70487,12,75134,0.11793347229896027,Good,0,191126.4
26,411691,Employed,689,150694,11,110875,0.2693160647184417,Average,4,123507.29999999999
36,54502,Employed,651,125853,18,218189,4.003320979046641,Good,2,16350.599999999999
49,37737,Unemployed,345,989767,13,125264,3.319394758459867,Average,5,11321.1
23,612933,Employed,638,317261,19,181046,0.2953764930261546,Good,1,183879.9
40,13998,Unemployed,462,237062,22,373335,26.670595799399916,Bad,9,4199.4
56,362336,Employed,801,453610,16,180815,0.4990257661397156,Average,3,108700.8
39,172973,Self-employed,435,235077,23,366860,2.120909043607962,Good,1,51891.9
46,82021,Employed,718,889516,17,202107,2.4640884651491692,Average,4,24606.3
23,373987,Self-employed,845,25782,11,57321,0.15327003345036058,Average,5,112196.09999999999
39,295655,Self-employed,378,511492,14,376926,1.274884578309178,Bad,7,88696.5
40,913435,Employed,772,816886,14,110398,0.12086026920361055,Bad,6,274030.5
52,925736,Self-employed,607,856336,6,322117,0.34795773309021144,Bad,7,277720.8
27,678565,Employed,720,656224,18,53414,0.07871611415266039,Bad,8,203569.5
53,799032,Employed,788,410808,17,249749,0.31256445298811564,Average,3,239709.59999999998
59,277827,Self-employed,412,155245,10,292836,1.054022827155028,Average,5,83348.09999999999
38,631652,Self-employed,504,952708,13,369102,0.5843439108876407,Good,1,189495.6
21,38172,Unemployed,485,955100,17,311894,8.170753431834854,Good,1,11451.6
31,69340,Self-employed,496,953828,13,331600,4.78223247764638,Good,1,20802.0
48,16017,Unemployed,305,124258,17,287229,17.9327589436224,Bad,8,4805.099999999999
45,791167,Self-employed,414,637956,9,286069,0.3615785289325768,Average,4,237350.09999999998
43,584636,Employed,564,456418,18,268759,0.4597031315211516,Average,3,175390.8
51,276635,Self-employed,538,484616,9,300227,1.0852820503551612,Good,0,82990.5
50,781917,Employed,509,388328,13,373908,0.4781939771101025,Good,2,234575.1
55,948472,Employed,732,508581,12,10605,0.011181141878727048,Average,5,284541.6
27,65010,Employed,511,425966,11,374237,5.756606675896016,Bad,9,19503.0
36,30496,Unemployed,476,995616,12,307752,10.091552990556139,Good,2,9148.8
46,918584,Self-employed,516,280710,7,391932,0.4266697438666469,Good,1,275575.2
22,633146,Employed,617,664550,19,20192,0.03189153844452938,Average,3,189943.8
21,755155,Employed,538,564621,12,397547,0.5264442399242539,Average,3,226546.5
32,15292,Unemployed,355,386073,5,314474,20.56460894585404,Good,0,4587.599999999999
25,106735,Self-employed,684,738265,11,229464,2.149847753782733,Good,2,32020.5
57,85771,Self-employed,552,615859,23,313093,3.6503363607746206,Bad,8,25731.3
52,38547,Unemployed,334,122263,6,69382,1.7999325498741796,Bad,7,11564.1
29,24276,Unemployed,479,921093,18,100233,4.1288927335640135,Bad,8,7282.8
55,403750,Self-employed,534,551523,22,53243,0.13187120743034056,Bad,9,121125.0
39,37563,Unemployed,379,2159,19,363710,9.682666453691132,Good,0,11268.9
36,172558,Self-employed,321,669505,18,321762,1.864659998377357,Good,1,51767.4
23,301412,Self-employed,739,164993,23,139621,0.4632230966252173,Good,2,90423.59999999999
40,318480,Employed,557,369003,23,381312,1.197287113790505,Bad,8,95544.0
44,117132,Employed,691,149309,21,53494,0.45669842570774855,Good,0,35139.6
53,149378,Self-employed,402,109507,23,220045,1.4730750177402294,Average,4,44813.4
44,603411,Self-employed,306,927748,20,287102,0.47579841931950195,Bad,9,181023.3
31,757255,Self-employed,530,16743,23,221851,0.2929673623812322,Average,5,227176.5
28,505585,Self-employed,539,754462,5,108960,0.2155127228853704,Bad,8,151675.5
56,113775,Self-employed,756,48101,23,103478,0.9094968138870578,Good,1,34132.5
58,851056,Self-employed,653,244717,11,6833,0.008028848865409562,Bad,7,255316.8
40,35028,Unemployed,482,647822,15,249053,7.110111910471622,Average,5,10508.4
55,321790,Self-employed,591,348371,9,100341,0.3118213741881351,Bad,8,96537.0
45,13536,Unemployed,451,232604,21,203850,15.059840425531915,Average,3,4060.7999999999997
55,11273,Unemployed,440,189450,15,95240,8.44850527809811,Good,1,3381.9
45,130342,Self-employed,392,859558,12,371099,2.8471175829740223,Average,5,39102.6
49,341497,Self-employed,583,844503,14,209929,0.6147316081839664,Good,2,102449.09999999999
38,31555,Unemployed,454,728481,16,171002,5.419172872761845,Average,5,9466.5
38,22127,Unemployed,332,338907,14,164479,7.433407149636191,Good,2,6638.099999999999
22,540827,Self-employed,439,489030,17,267217,0.49408960721265766,Average,3,162248.1
55,937196,Self-employed,322,761710,22,280811,0.29962889299570206,Good,1,281158.8
36,33615,Unemployed,411,407453,14,7732,0.23001636174326937,Good,2,10084.5
56,20629,Unemployed,390,673009,23,318241,15.42687478791992,Good,1,6188.7
53,22740,Unemployed,384,170785,21,4487,0.1973175021987687,Average,4,6822.0
24,696220,Employed,530,206535,20,232560,0.33403234609749793,Average,5,208866.0
53,6764,Unemployed,421,702769,9,320846,47.43435836782969,Good,2,2029.1999999999998
34,837274,Employed,809,181838,7,258743,0.3090302577173064,Bad,8,251182.19999999998
41,833804,Self-employed,598,572442,19,358105,0.42948342776000115,Good,0,250141.19999999998
40,43744,Self-employed,670,271160,6,86107,1.9684299561082663,Bad,8,13123.199999999999
28,25454,Unemployed,370,474779,17,108721,4.271273670150075,Good,1,7636.2
27,374061,Self-employed,779,443904,12,334175,0.8933703326462796,Average,4,112218.3
23,532938,Self-employed,361,878110,21,347361,0.6517850106391363,Bad,9,159881.4
37,882676,Self-employed,848,900488,8,277925,0.31486638358808894,Average,3,264802.8
53,794622,Self-employed,681,580526,23,303009,0.38132470533159163,Bad,8,238386.59999999998
32,259767,Employed,551,322752,13,9469,0.036451897277175314,Bad,9,77930.09999999999
42,720778,Employed,788,615369,19,308311,0.4277475172660653,Bad,8,216233.4
42,23768,Unemployed,341,249644,13,256938,10.810249074385728,Bad,6,7130.4
50,20563,Unemployed,411,951401,13,213810,10.397801877158003,Average,3,6168.9
58,32885,Unemployed,425,839393,18,283072,8.607936749277787,Bad,8,9865.5
58,721442,Self-employed,435,201775,20,208593,0.28913342999160013,Good,2,216432.6
28,749854,Self-employed,807,964261,21,302743,0.4037359272605067,Good,1,224956.19999999998
47,101017,Employed,563,815349,17,329648,3.2632923171347397,Bad,8,30305.1
47,532394,Employed,753,942240,13,71687,0.13465027780177838,Average,5,159718.19999999998
54,24932,Unemployed,413,816422,19,372266,14.931253008182257,Average,4,7479.599999999999
41,331075,Employed,515,64551,11,164331,0.4963558106169297,Bad,9,99322.5
50,854464,Employed,707,977665,5,257797,0.3017060987940978,Average,4,256339.19999999998
53,766786,Employed,665,736983,5,87284,0.11383097761304979,Average,4,230035.8
48,711509,Employed,680,679800,9,86227,0.12118890976783146,Average,4,213452.69999999998
53,786572,Employed,604,168277,13,98556,0.1252981290968913,Bad,6,235971.59999999998
25,31201,Unemployed,458,82811,16,44560,1.4281593538668633,Good,1,9360.3
39,24899,Unemployed,375,781128,10,290400,11.663119000763082,Good,0,7469.7
24,313126,Employed,578,843535,17,7125,0.022754418349162957,Good,1,93937.8
55,15150,Unemployed,469,466028,12,5370,0.35445544554455444,Good,1,4545.0
37,777783,Self-employed,695,961131,19,5838,0.007505949602909809,Good,1,233334.9
48,142223,Employed,844,370266,10,115479,0.811957278358634,Average,5,42666.9
50,622574,Self-employed,701,236104,10,58429,0.09385069084157065,Average,3,186772.19999999998
49,22358,Unemployed,305,545296,8,397350,17.772162089632346,Average,4,6707.4
26,29811,Unemployed,470,204346,15,243067,8.153601019757808,Bad,8,8943.3
55,418811,Self-employed,462,558690,22,44199,0.10553447736568523,Average,3,125643.29999999999
57,31853,Unemployed,481,186456,7,78092,2.4516372084262077,Good,0,9555.9
44,553512,Employed,817,786282,7,388069,0.7011031377820174,Average,5,166053.6
49,648012,Self-employed,509,401009,16,165894,0.2560045184348438,Good,0,194403.6
51,197567,Employed,844,498043,10,225585,1.1418151816852005,Average,5,59270.1
55,953319,Self-employed,385,138643,10,283257,0.29712719456970854,Good,1,285995.7
53,27942,Unemployed,437,492083,12,195666,7.002576766158471,Average,5,8382.6
41,192063,Self-employed,800,935713,19,97102,0.5055736919656572,Good,0,57618.9
52,824781,Self-employed,432,115550,22,265813,0.3222831272786352,Good,0,247434.3
43,81990,Employed,636,486146,20,181499,2.2136723990730576,Bad,9,24597.0
53,8385,Unemployed,486,962652,10,145010,17.29397734048897,Average,4,2515.5
23,654860,Employed,545,93218,21,399933,0.6107152673853954,Good,2,196458.0
38,31119,Unemployed,422,135296,13,340962,10.956714547382628,Average,4,9335.699999999999
45,360515,Employed,678,501909,23,196647,0.5454613538965092,Good,2,108154.5
51,899285,Self-employed,338,520767,22,80737,0.08977910228681675,Bad,9,269785.5
23,907860,Employed,677,181767,9,25406,0.027984491000815105,Bad,8,272358.0
44,13353,Unemployed,374,909211,10,228894,17.141765895304427,Bad,8,4005.8999999999996
52,6909,Unemployed,403,393858,16,13873,2.007960631060935,Bad,7,2072.7
42,347176,Self-employed,353,767348,15,126812,0.365267184367583,Good,1,104152.8
43,39731,Unemployed,333,242016,20,345192,8.688228335556618,Average,3,11919.3
22,171553,Employed,612,34441,21,24461,0.14258567323217897,Bad,7,51465.9
47,614269,Self-employed,617,240038,13,14448,0.023520639980204112,Bad,8,184280.69999999998
22,33205,Unemployed,355,696489,5,16198,0.48781809968378254,Bad,8,9961.5
46,21006,Unemployed,417,757612,7,74158,3.53032466914215,Average,5,6301.8
37,865544,Employed,688,850800,13,226075,0.26119411607035575,Good,1,259663.19999999998
53,875442,Employed,711,618410,23,167033,0.190798476655221,Good,0,262632.6
29,522537,Self-employed,412,46760,17,175079,0.3350556994050182,Good,1,156761.1
59,6067,Unemployed,427,287622,18,66470,10.95599142904236,Good,0,1820.1
49,270491,Employed,657,916313,23,184328,0.6814570540239786,Average,4,81147.3
46,262808,Self-employed,693,860286,11,21739,0.0827181820949134,Average,5,78842.4
55,20187,Unemployed,445,882662,8,347198,17.19908852231634,Average,3,6056.099999999999
45,24563,Unemployed,486,349860,16,321330,13.081871106949476,Bad,7,7368.9
44,721605,Self-employed,614,669540,18,27547,0.03817462462150346,Average,5,216481.5
33,285752,Self-employed,527,100538,6,95472,0.334107897757496,Good,0,85725.59999999999
27,887759,Employed,766,541660,5,348967,0.3930875383972452,Average,3,266327.7
56,22221,Unemployed,422,818228,22,107887,4.855182035011926,Bad,8,6666.3
40,25968,Unemployed,489,977776,12,183503,7.066504929143561,Good,2,7790.4
21,22070,Unemployed,333,513511,7,210483,9.537063887630268,Average,4,6621.0
28,460651,Self-employed,656,223035,10,273830,0.5944413449661458,Good,1,138195.3
36,816064,Employed,731,887258,17,149608,0.18332875852874284,Good,2,244819.19999999998
34,25802,Unemployed,381,384736,13,297206,11.518719479110146,Average,4,7740.599999999999
32,736316,Self-employed,798,357779,13,311360,0.42286192341331713,Average,5,220894.8
43,24775,Unemployed,382,637310,13,294797,11.898970736629668,Bad,9,7432.5
35,990814,Employed,761,580328,19,22673,0.022883205122253017,Average,5,297244.2
48,26263,Unemployed,499,863789,17,142439,5.423561664699387,Average,4,7878.9
54,864799,Employed,679,728728,20,20629,0.02385409788864233,Average,4,259439.69999999998
22,305375,Employed,670,604644,6,121756,0.3987097830536226,Good,0,91612.5
52,26168,Unemployed,412,280355,18,112641,4.3045322531335986,Bad,6,7850.4
43,15635,Unemployed,437,369570,10,288207,18.433450591621362,Good,1,4690.5
42,780406,Employed,810,269986,6,282466,0.36194749912225177,Average,4,234121.8
45,737288,Self-employed,348,458331,12,216618,0.29380377817080977,Bad,7,221186.4
42,893907,Employed,776,855284,8,275837,0.3085746056357093,Average,3,268172.1
42,21676,Unemployed,415,389881,18,141313,6.519330134711201,Good,1,6502.8
26,30112,Unemployed,434,310112,15,365523,12.138781880977684,Good,0,9033.6
35,433670,Self-employed,533,805940,18,275795,0.6359559111767011,Average,3,130101.0
57,879104,Employed,592,155077,16,158038,0.17977167661619103,Bad,9,263731.2
53,44429,Employed,826,56575,20,272419,6.131558216480227,Good,0,13328.699999999999
